"ForestTypeGroup","AgeGroup","carbon","carbon_se","total","total_se","rfCarbon","rfCarbonUpper","rfCarbonLower","ShortName","Age","Area","Prop","originalArea","AreaSE","ForestTypeGroupCode"
"Redwood",120,391.614093681973,34.7527201204181,12416565.8195518,7446456.44318353,-57.6009874247913,-52.4893455637629,-62.7126292858198,"RedW","121-130 years",34007,0,34007,41.68,340
"Redwood",130,350.379255322428,61.0734089488417,11824487.098162,6503587.1065493,-51.5359161106309,-42.55286693644,-60.5189652848218,"RedW","131-140 years",17882,0,17882,55.39,340
"Redwood",140,585.965837337658,0,3771692.49075364,3771692.49075402,-86.1874262759646,-43.0937131379823,-129.281139413947,NA,NA,NA,NA,NA,NA,NA
"Redwood",160,227.611904181421,2.84217094303322e-14,1113937.53747007,1113937.53747155,-33.4785459512443,-33.4785459512443,-33.4785459512443,"RedW","161-170 years",12429,0,12429,68.38,340
"Redwood",170,NA,NA,NA,NA,NA,NA,NA,"RedW","171-180 years",13360,0,13360,67.44,340
"Redwood",180,302.932146130985,36.2823674811224,6289954.99349494,4042672.2790824,-44.5571061444644,-39.2204744278363,-49.8937378610926,"RedW","181-190 years",4726,0,4726,88.31,340
"Redwood",190,NA,NA,NA,NA,NA,NA,NA,"RedW","191-200 years",6151,0,6151,107.21,340
"Redwood",200,800.483863345095,180.139713754894,60277117.6794403,22923903.0901988,-117.740044830291,-91.243997946116,-144.236091714466,"RedW","200+ years",93252,0,93252,25.39,340
"Spruce / fir",0,25.5251061474166,3.2034364865789,9480365.47368767,2275713.19221803,-3.75438816409862,-3.28320720366721,-4.22556912453003,"SpFir","0-10 years",287654,0,287654,11.43,120
"Spruce / fir",10,28.3486782416178,5.79785391341159,22666916.0905925,6319899.07024285,-4.16969635477664,-3.31691266862972,-5.02248004092356,"SpFir","11-20 years",653202,0,653202,7.96,120
"Spruce / fir",20,35.4866272768149,1.42961631624753,85637920.115576,9746602.20249024,-5.21958939807729,-5.00931271809313,-5.42986607806144,"SpFir","21-30 years",1364214,0,1364214,5.61,120
"Spruce / fir",30,43.9002363009326,1.38033127700821,158857478.689169,14599709.1752386,-6.45711428651728,-6.25408675045122,-6.66014182258335,"SpFir","31-40 years",1548430,0,1548430,5.37,120
"Spruce / fir",40,47.8556892299636,2.63860557559178,156202878.827428,17092438.4228137,-7.0389064081499,-6.65080422022897,-7.42700859607083,"SpFir","41-50 years",1351187,0,1351187,5.64,120
"Spruce / fir",50,43.6150090942523,2.29447634843067,117221220.791681,11592660.3216034,-6.41516133076247,-6.07767576672206,-6.75264689480289,"SpFir","51-60 years",1528838,0,1528838,5.16,120
"Spruce / fir",60,54.0768476772721,2.17061522500534,210249213.713249,20532311.6677454,-7.95395230479237,-7.63468498960446,-8.27321961998029,"SpFir","61-70 years",1944172,0,1944172,4.7,120
"Spruce / fir",70,54.9787441891923,2.58997722122929,225621925.016311,22477872.804482,-8.08660873999148,-7.70565910677507,-8.46755837320789,"SpFir","71-80 years",1876966,0,1876966,4.74,120
"Spruce / fir",80,63.2407870757494,2.61161609107501,261030394.949871,25947405.3176205,-9.3018403572635,-8.91770794720127,-9.68597276732574,"SpFir","81-90 years",1691662,0,1691662,5.02,120
"Spruce / fir",90,63.4963817905435,3.03637349675581,209361367.392443,22032884.0200369,-9.33943478552903,-8.89282646773536,-9.78604310332271,"SpFir","91-100 years",1291281,0,1291281,5.87,120
"Spruce / fir",100,58.8944510011418,3.63131442412429,125261097.9644,15619578.7863693,-8.66255476050789,-8.12843890550164,-9.19667061551414,"SpFir","101-110 years",871257,0,871257,7.28,120
"Spruce / fir",110,63.3003973429667,6.05383506237015,69016927.1413815,12250996.7746505,-9.31060819863532,-8.420173245131,-10.2010431521396,"SpFir","111-120 years",548540,0,548540,9.18,120
"Spruce / fir",120,75.9857627347074,9.67676375097195,94378759.6893231,21797876.7431895,-11.1764490460332,-9.75313166260662,-12.5997664294598,"SpFir","121-130 years",430632,0,430632,10.54,120
"Spruce / fir",130,67.4892903463654,8.68613030183657,70909687.1679522,16158347.6062952,-9.92673610900749,-8.64912713027523,-11.2043450877398,"SpFir","131-140 years",284540,0,284540,12.15,120
"Spruce / fir",140,66.2663854575431,10.5485478432737,25272093.0885266,8128065.81656904,-9.74686380548418,-8.19531910504332,-11.298408505925,"SpFir","141-150 years",114268,0,114268,18.51,120
"Spruce / fir",150,59.8154348466752,16.4245716426294,10208619.3745552,4249438.68630304,-8.79801867705448,-6.38219258726881,-11.2138447668402,"SpFir","151-160 years",81922,0,81922,23.08,120
"Spruce / fir",160,65.091014941131,4.80044270140963,6146209.46004738,1982368.27232465,-9.57398314713304,-8.8679047803471,-10.280061513919,"SpFir","161-170 years",50158,0,50158,27.21,120
"Spruce / fir",170,75.1470871776257,9.32433111342875,4068667.68338937,1212141.51203516,-11.0530915341451,-9.6816120907996,-12.4245709774906,"SpFir","171-180 years",56803,0,56803,26.72,120
"Spruce / fir",180,81.8333603117249,8.05943665425245,10561693.2990484,6691977.74628921,-12.036549333365,-10.8511182754381,-13.2219803912919,"SpFir","181-190 years",7261,0,7261,61.72,120
"Spruce / fir",190,40.2240794580416,18.5681342713239,2551283.0209586,1763348.88270269,-5.91640273528571,-3.1852883910381,-8.64751707953333,"SpFir","191-200 years",13093,0,13093,63.43,120
"Spruce / fir",200,90.5200516783565,9.98204707029531,1300646.2276493,550411.312562066,-13.3142408369265,-11.846020522474,-14.7824611513789,"SpFir","200+ years",10999,0,10999,42.42,120
"Tanoak / laurel",0,86.0071071014717,16.0844716686136,8062903.31934521,2252334.38930772,-12.6504494463311,-10.2846473333187,-15.0162515593434,"TanoakL","0-10 years",191560.021616896,0.0999948812660115,172405,16.64,940
"Tanoak / laurel",10,41.3556558656863,4.95076620810314,4527814.6567868,1026079.61988159,-6.08284188923472,-5.35465302500141,-6.81103075346802,"TanoakL","11-20 years",190532.249684553,0.0999948812660115,171480,16.39,940
"Tanoak / laurel",20,60.6110658923161,12.7413889933684,3287046.45957,1341951.02726189,-8.9150449398834,-7.040963799746,-10.7891260800208,"TanoakL","21-30 years",101472.756208838,0.0999948812660115,91326,22.28,940
